times B04GusCalc B06GusCalc C01GusCalc C02GusCalc C03GusCalc C04GusCalc C05GusCalc C06GusCalc C07GusCalc C08GusCalc C09GusCalc C10GusCalc C11GusCalc C12GusCalc E01GusCalc E02GusCalc E03GusCalc E04GusCalc E05GusCalc E06GusCalc E07GusCalc E08GusCalc E09GusCalc E10GusCalc E11GusCalc E12GusCalc G01GusCalc G02GusCalc G03GusCalc G04GusCalc G05GusCalc G06GusCalc G07GusCalc G08GusCalc G09GusCalc G10GusCalc G11GusCalc G12GusCalc
1254 1.1537734064686977 3.247797218858315 28.45341851413099 159.18634611699073 249.88682518192584 284.9820313977681 307.8652039593972 316.51850450791244 320.71080258086494 311.5188197465481 278.9284670313609 221.33219847424496 103.73846410823903 27.31970601745521 31.9375105770858 159.5760311748046 257.8683563457537 294.40451421726254 317.1378460767529 325.1718050564277 325.7626078862752 313.5079550674407 284.34187324966285 230.814230888912 105.37797112414097 27.892846703136094 30.77614655610086 160.4617955660856 255.30652394652225 302.28863249479866 316.71080007565723 328.440829708089 333.18578527581747 322.86925293356165 291.53756211634027 242.39290530028003 113.8639495552679 29.228926297206996
1304 0.9614778387239147 3.4613202194060877 30.00574945167267 168.4315587302272 259.91993356189175 296.5349466914876 321.3107124724995 328.8254208435787 330.2145033000507 322.2873715402559 291.5375621163403 231.498561516331 107.94149580323213 27.89284670313609 32.73354485637018 165.8109920998275 264.79099678456595 303.44240590126725 327.67164743711 335.63420206464724 340.19505547156143 323.2488493789798 295.16745312565257 239.95490040506118 109.60847361452618 28.8480811792709 32.131071247249956 168.14910244671108 267.9084772470773 310.1727507723346 332.01166925746895 342.28611058571335 344.07545830375415 327.8364722094626 302.42723514427695 253.51922996617537 118.25802814548797 30.95958640691004
1354 1.3549246911490958 3.247797218858311 30.77614655610086 174.3697749196142 268.662210187849 308.1485869013369 332.53723134202073 335.47834801854094 343.76375021154166 333.9499728567253 298.9883910301917 238.8310951390202 112.33557439345223 29.421221864951768 34.5209003215434 173.0201656693852 275.87171670772966 313.2494798562513 339.017085934052 339.2992859230801 349.54749685909576 335.2873011233141 304.0825640493726 249.69829206163618 113.64668053716667 29.994362550632648 33.48599593839905 173.04323912675582 275.2432729734304 319.40293802408416 339.31185479776605 352.67007124393155 353.62780306510217 342.73813003716543 310.45120474380917 264.98329235231074 122.65210673570805 31.344177542399592
1404 1.7306601097030412 3.247797218858311 32.13107124724996 182.25360927080857 283.4958795596346 324.6012438652903 344.34443222203424 351.90838100805945 354.2160264004061 346.3680210464777 313.6990019626675 250.66106786258246 116.72965298367227 30.37645634108656 35.69774919614148 178.67059900768726 287.43759519377215 326.13328289515175 358.63123384401985 358.05434714078547 371.75954515448984 353.0546623794212 320.38564329561126 259.63273061343807 118.06947859529662 30.75855013154049 35.266497732160715 181.3983944123847 289.5048231511253 337.18268742596035 354.79670841089853 367.3781519715687 369.2936484737128 358.8235294117647 325.35286257151205 275.17495744278415 126.6640915354742 33.29243526823489
1454 1.9356067016415606 3.2268436884140623 33.512914971998036 186.33440514469456 288.9860805550854 334.66639871382625 353.2482230495855 363.82321417312914 361.1842105263158 361.37777119648 321.5319246669729 258.2099339989846 120.16849709775758 31.14064392199441 36.48231511254019 184.3210323459893 294.01992308177284 338.6324947985625 361.65177266463445 372.8611058571339 381.50167159983806 367.0922388247903 328.4096128951434 268.8292037072063 121.91538995019228 31.34417754239959 35.65618278997466 185.624682687426 292.85729395836864 344.7315535623625 362.0174187091415 370.9381501796861 379.2068595927116 364.5923964441081 331.0842694283209 278.16427945045314 130.48502944001334 33.07483765210264
1505 1.7306601097030465 3.6298910093122356 33.67955660856321 193.59163987138263 299.631917414114 339.31185479776616 360.93878065695725 374.01487926360267 376.43576584825706 366.2368981500816 335.17117457915634 268.10331977598435 124.94466947843156 31.713784607675294 38.05144694533762 190.94567832882603 304.01929260450174 343.4398839921822 368.43830779900384 372.21716872567265 385.20367964907047 367.57422641667023 336.8156762851297 276.52102641699776 126.97579962768658 32.30565538112352 36.58296666102556 192.8941036178957 301.5675241157556 352.86236681167657 365.055423929599 381.12981527015944 387.443103520274 378.24538175398766 343.63217955992684 290.36630729462195 134.9914885568375 34.453799289219845
1555 1.93560670164156 3.8209379045391887 35.65618278997466 199.86816720257244 308.24088073081924 346.7089086438435 366.7076476893009 374.5917659668368 379.3789135217464 370.7458546119412 338.3440514469453 276.4815485189839 129.33874806865163 33.43320666471791 38.83601286173633 198.10289389067526 313.95540700626157 348.2472731858016 379.59145072820115 385.3792942968353 388.9056876983028 376.7444773875642 340.6366141896688 282.7494049359001 129.99180379547323 33.433206664717915 37.937891352174645 197.96000936947678 310.77383360660974 360.79708918598755 378.96871872404756 385.3603177605446 396.51346068974203 376.55343049233727 348.0874431035204 296.90435659794474 140.1379251988492 35.19008889729525
1605 1.7420460314774093 3.6298910093122343 36.435552905602535 205.94855305466234 319.1520623496093 359.63572516500255 382.8604753798625 386.89868230250295 398.45297161474423 385.16802219280004 352.0994279032864 284.4700922041695 132.39549839228297 34.00634735039881 39.42443729903537 204.96784565916403 324.01803164995897 365.44254526992717 392.0906626316121 392.6675493348464 405.85698771320887 388.0524557089716 358.0218816553222 293.63533194628326 134.71822643425284 34.805497761805704 39.358190839207005 205.1691829390345 321.29533016758586 376.0460807904431 393.97159344988387 400.7439631801275 402.8592144253199 389.97541138641947 360.1695983859781 303.3824696204118 143.45249353760795 35.959271168274384
1655 1.9229556774478294 4.394078590220075 37.35720934168218 212.8135048231512 326.75092097698086 370.16896790870686 394.86376713487897 399.28801102434545 404.9289219834151 390.49985384390544 361.2696788741806 292.47017261804035 136.47650658645367 34.961581826533596 40.06705872398036 209.4557185749878 331.7098543597504 374.92701810797087 404.7821701027679 404.58987453502294 413.06616128276653 398.1417296529837 367.6691255280249 300.13467240155353 138.9765611778643 35.152628721760564 40.33240348374182 211.59898639296432 330.84261408402716 380.9375197024147 398.84265667255806 409.1872567270267 410.17768405228225 404.78217010276774 367.6703661445909 314.8452833340294 147.10610932475882 36.92074900699831
1705 0.967803350820783 3.247797218858311 38.51857336266712 221.3502665141674 339.80537041374754 382.475884244373 403.5188773663252 405.9359435092365 417.35269691871997 411.89710610932474 370.8220236355286 300.21259942460654 141.5295378601601 35.34367561698752 41.38585209003215 216.66489214454546 343.95731088170584 386.5140911670136 420.685263289765 420.5504066578402 433.91431187581185 412.47024679500566 373.3647961829685 309.9804552045898 143.04133525131158 35.76697560052959 41.111773599369684 217.4442622601733 345.0128617363343 392.73459976307345 412.67647622495264 427.47304709665235 424.50620119430425 418.0505642771577 387.28327343799253 326.7101695983861 151.52890738288883 37.49763571023265
1755 1.9356067016415652 3.6298910093122356 40.13756095483487 225.56270096463032 344.87127616532865 392.80253827644214 411.1228634286681 427.47304709665235 425.14639807499844 415.358426328731 380.1683374314356 307.5679048908445 146.52922262152453 37.497635710232665 43.15112540192926 223.79742765273306 354.2160264004061 395.4444491453716 422.15582162802514 421.70418006430884 423.1236249788458 416.73612286342865 382.8604753798627 315.3647311014438 146.3369270537797 36.8720507788032 43.25504141734632 223.28953812738226 348.9629692723749 403.3240348374182 423.46945337620593 427.2807515289076 432.47273185801646 414.9738351932415 384.5774000918696 333.24821890170875 155.56711430552932 38.84370468444612
